index,PERIODO,COUNTRY,UNITA_MISURA,QTA_ORDINATA,QTA_EVASA,MAX_DELTA_MONTH,DELTA
16636,2019-06,SAINT LUCIA,MT,90.0,90.0,6,0.0
49397,2022-05,SAINT LUCIA,N,108.0,2.0,5,106.0
63443,2023-08,SEYCHELLES,N,13.0,0.0,8,13.0
52214,2022-08,Saudi Arabia,LT,10.0,0.0,8,10.0
29752,2020-08,Saudi Arabia,MT,27466.6796875,0.0,8,27466.6796875
40985,2021-08,Saudi Arabia,N,13377.0,633.0,8,12744.0
24142,2020-02,Senegal,MT,6.0,0.0,2,6.0
67199,2023-12,Senegal,N,1272.0,0.0,12,1272.0
32570,2020-11,Serbia,LT,10.0,10.0,11,0.0
48484,2022-04,Serbia,MT,12192.0,0.0,4,12192.0
55037,2022-11,Serbia,N,673.0,76.0,11,597.0
2626,2018-03,Slovakia,MT,21344.0,21336.0,3,8.0
27899,2020-06,Slovakia,N,301.0,94.0,6,207.0
11056,2018-12,Slovenia,MT,7.5,7.5,12,0.0
65345,2023-10,Slovenia,N,1.0,0.0,10,1.0
57860,2023-02,South Africa,LT,40.0,5.0,2,35.0
44758,2021-12,South Africa,MT,64000.0,0.0,12,64000.0
6383,2018-07,South Africa,N,2875.0,150.0,7,2725.0
35402,2021-02,South Korea,LT,10.0,0.0,2,10.0
49444,2022-05,South Korea,MT,23312.0,0.0,5,23312.0
56933,2023-01,South Korea,N,5163.0,1550.0,1,3613.0
25110,2020-03,Spain,CF,10.0,0.0,3,10.0
5456,2018-06,Spain,LT,20.0,0.0,6,20.0
9202,2018-10,Spain,MT,79812.576171875,121.0,10,79691.576171875
9203,2018-10,Spain,N,5836.0,873.0,10,4963.0
23248,2020-01,Sri Lanka,MT,21344.0,0.0,1,21344.0
37289,2021-04,Sri Lanka,N,110.0,12.0,4,98.0
35420,2021-02,Sudan,LT,50.0,0.0,2,50.0
6406,2018-07,Sudan,MT,97567.5,0.0,7,97567.5
35423,2021-02,Sudan,N,3759.0,21.0,2,3738.0
41044,2021-08,Suriname,MT,6102.7890625,0.0,8,6102.7890625
42917,2021-10,Suriname,N,539.0,80.0,10,459.0
42920,2021-10,Sweden,LT,10.0,5.0,10,5.0
67258,2023-12,Sweden,MT,37.099609375,0.0,12,37.099609375
46667,2022-02,Sweden,N,1741.0,105.0,2,1636.0
46670,2022-02,Switzerland,LT,5.0,0.0,2,5.0
48544,2022-04,Switzerland,MT,21365.80078125,0.0,4,21365.80078125
32633,2020-11,Switzerland,N,1627.0,715.0,11,912.0
64462,2023-09,Syria,MT,3048.0,0.0,9,3048.0
64463,2023-09,Syria,N,880.0,1.0,9,879.0
65404,2023-10,TAIWAN R.O.C.,MT,21348.0,21340.0,10,8.0
821,2018-01,TAIWAN R.O.C.,N,354.0,188.0,1,166.0
44816,2021-12,TANZANIA,LT,20.0,0.0,12,20.0
54178,2022-10,TANZANIA,MT,48948.4296875,0.0,10,48948.4296875
5507,2018-06,TANZANIA,N,1630.0,0.0,6,1630.0
13936,2019-03,THAILAND,MT,4.0,0.0,3,4.0
39209,2021-06,THAILAND,N,1194.0,37.0,6,1157.0
67294,2023-12,TRINIDAD AND TOBAGO,MT,6099.0,0.0,12,6099.0
67295,2023-12,TRINIDAD AND TOBAGO,N,85.0,50.0,12,35.0
12074,2019-01,TUNISIA,LT,5.0,0.0,1,5.0
33604,2020-12,TUNISIA,MT,64073.6005859375,25.0,12,64048.6005859375
31733,2020-10,TUNISIA,N,2813.0,629.0,10,2184.0
27990,2020-06,TURKEY,CF,11.0,1.0,6,10.0
62626,2023-07,TURKEY,MT,94589.2109375,6.21,7,94583.0009375
62627,2023-07,TURKEY,N,9906.0,3430.0,7,6476.0
14896,2019-04,TURKMENISTAN,MT,12.0,0.0,4,12.0
37361,2021-04,TURKMENISTAN,N,426.0,0.0,4,426.0
43918,2021-11,Tajikistan,MT,8648.0,0.0,11,8648.0
55151,2022-11,Tajikistan,N,1287.0,0.0,11,1287.0
10224,2018-11,UGANDA,CF,12.0,4.0,11,8.0
13972,2019-03,UGANDA,MT,101.0,1.0,3,100.0
48605,2022-04,UGANDA,N,2159.0,119.0,4,2040.0
874,2018-01,UKRAINE,MT,88415.0,39624.0,1,48791.0
41123,2021-08,UKRAINE,N,7953.0,35.0,8,7918.0
57976,2023-02,UNITED ARAB EMIRATES,MT,42688.0,0.0,2,42688.0
58913,2023-03,UNITED ARAB EMIRATES,N,1569.0,99.0,3,1470.0
3692,2018-04,UNITED KINGDOM,LT,10.0,10.0,4,0.0
50494,2022-06,UNITED KINGDOM,MT,9.740234375,1.0,6,8.740234375
39263,2021-06,UNITED KINGDOM,N,4063.0,443.0,6,3620.0
27100,2020-05,URUGUAY,MT,10.0,0.0,5,10.0
51437,2022-07,URUGUAY,N,220.0,28.0,7,192.0
894,2018-01,USA,CF,5.0,5.0,1,0.0
56119,2022-12,USA,KG,36.0,36.0,12,0.0
13064,2019-02,USA,LT,10.0,5.0,2,5.0
17746,2019-07,USA,MT,17794.0,9146.0,7,8648.0
48635,2022-04,USA,N,3138.0,2178.0,4,960.0
10262,2018-11,UZBEKISTAN,LT,20.0,20.0,11,0.0
2776,2018-03,UZBEKISTAN,MT,3048.0,0.0,3,3048.0
19625,2019-09,UZBEKISTAN,N,758.0,0.0,9,758.0
60814,2023-05,VENEZUELA,MT,12282.0,30.0,5,12252.0
34607,2021-01,VENEZUELA,N,1606.0,0.0,1,1606.0
24314,2020-02,VIETNAM,LT,25.0,25.0,2,0.0
51460,2022-07,VIETNAM,MT,45745.880859375,21346.0,7,24399.880859375
1853,2018-02,VIETNAM,N,1345.0,89.0,2,1256.0
33682,2020-12,YEMEN,MT,507.90234375,0.0,12,507.90234375
24323,2020-02,YEMEN,N,4838.0,1026.0,2,3812.0
6542,2018-07,ZAMBIA,LT,30.0,10.0,7,20.0
2800,2018-03,ZAMBIA,MT,12201.0,0.0,3,12201.0
40241,2021-07,ZAMBIA,N,2023.0,32.0,7,1991.0
49604,2022-05,ZIMBABWE,LT,5.0,0.0,5,5.0
56158,2022-12,ZIMBABWE,MT,130.0,0.0,12,130.0
17783,2019-07,ZIMBABWE,N,1111.0,0.0,7,1111.0
