COUNTRY,QTA_ORDINATA_TOTALE,DESCRIZIONE1
MALAYSIA,182.0,ALIMENTATORE
MEXICO,118.0,ALIMENTATORE
CHINA,73.0,ALIMENTATORE
USA,73.0,ALIMENTATORE
Iraq,69.0,ALIMENTATORE
USA,549.0,CATARIFRANGENTE
ALGERIA,381.0,CATARIFRANGENTE
UNITED KINGDOM,256.0,CATARIFRANGENTE
Spain,218.0,CATARIFRANGENTE
Ireland,217.0,CATARIFRANGENTE
USA,2560.0,FOTOCELLULA
MEXICO,2174.0,FOTOCELLULA
ALGERIA,1163.0,FOTOCELLULA
CHINA,1032.0,FOTOCELLULA
UNITED KINGDOM,985.0,FOTOCELLULA
USA,34.0,INTERRUTTORE
PHILIPPINES,25.0,INTERRUTTORE
MEXICO,24.0,INTERRUTTORE
MALAYSIA,18.0,INTERRUTTORE
Saudi Arabia,17.0,INTERRUTTORE
MEXICO,99.0,INVERTER
UNITED KINGDOM,54.0,INVERTER
USA,43.0,INVERTER
Indonesia,40.0,INVERTER
Spain,40.0,INVERTER
ALGERIA,2553.0,MODULO
MEXICO,1752.0,MODULO
USA,1573.0,MODULO
CHINA,1502.0,MODULO
India,1470.0,MODULO
MEXICO,57.0,SELETTORE
ALGERIA,18.0,SELETTORE
CANADA,18.0,SELETTORE
TURKEY,18.0,SELETTORE
Brazil,13.0,SELETTORE
MEXICO,2305.0,SENSORE
USA,2216.0,SENSORE
Iraq,1136.0,SENSORE
CHINA,1114.0,SENSORE
UNITED KINGDOM,924.0,SENSORE
Belarus,2020.0,ACCESSORI
Norway,1390.0,ACCESSORI
YEMEN,889.0,ACCESSORI
PHILIPPINES,785.0,ACCESSORI
ANTIGUA AND BARBUDA,669.0,ACCESSORI
MEXICO,56.0,AGGIUNTA MOTORI MACCHINA
Brazil,53.0,AGGIUNTA MOTORI MACCHINA
POLAND,24.0,AGGIUNTA MOTORI MACCHINA
CROATIA,15.0,AGGIUNTA MOTORI MACCHINA
USA,14.0,AGGIUNTA MOTORI MACCHINA
MEXICO,1178.0,ALBERO
Spain,996.0,ALBERO
RUSSIAN FEDERATION,279.0,ALBERO
USA,270.0,ALBERO
ITALY,245.0,ALBERO
USA,980.0,ALBERO TONDO
MEXICO,929.0,ALBERO TONDO
Spain,814.0,ALBERO TONDO
CHINA,455.0,ALBERO TONDO
Saudi Arabia,436.0,ALBERO TONDO
ALGERIA,2638.0,AMMORTIZZATORE
Iraq,2154.0,AMMORTIZZATORE
Spain,2114.0,AMMORTIZZATORE
Saudi Arabia,1694.0,AMMORTIZZATORE
YEMEN,1684.0,AMMORTIZZATORE
Cape Verde,2236.0,ANELLO
ANTIGUA AND BARBUDA,1714.0,ANELLO
PHILIPPINES,1655.0,ANELLO
Belarus,1617.0,ANELLO
Norway,640.0,ANELLO
Spain,264.0,ANELLO DI TENUTA
USA,199.0,ANELLO DI TENUTA
ITALY,165.0,ANELLO DI TENUTA
Brazil,141.0,ANELLO DI TENUTA
POLAND,116.0,ANELLO DI TENUTA
Brazil,660.0,ANELLO ELASTICO
MEXICO,436.0,ANELLO ELASTICO
Norway,256.0,ANELLO ELASTICO
Spain,200.0,ANELLO ELASTICO
TRINIDAD AND TOBAGO,200.0,ANELLO ELASTICO
MEXICO,12357.0,ANELLO SEEGER
Germany,10440.0,ANELLO SEEGER
Spain,7144.0,ANELLO SEEGER
Brazil,4932.0,ANELLO SEEGER
USA,4594.0,ANELLO SEEGER
TURKEY,18.0,ATTACCO
MEXICO,15.0,ATTACCO
Macedonia,13.0,ATTACCO
UNITED ARAB EMIRATES,12.0,ATTACCO
CROATIA,10.0,ATTACCO
USA,193.0,BARRA FILETTATA
MEXICO,110.798828125,BARRA FILETTATA
UNITED KINGDOM,54.0,BARRA FILETTATA
GUATEMALA,27.0,BARRA FILETTATA
Spain,24.0,BARRA FILETTATA
Saudi Arabia,167.0,BOBINA
Iraq,99.0,BOBINA
MEXICO,74.0,BOBINA
BANGLADESH,63.0,BOBINA
MOROCCO,58.0,BOBINA
Cape Verde,6627.0,BOCCOLA
UNITED KINGDOM,2037.0,BOCCOLA
Belarus,1572.0,BOCCOLA
ANTIGUA AND BARBUDA,1390.0,BOCCOLA
Norway,1387.0,BOCCOLA
Saudi Arabia,14274.0,BUSSOLA
MEXICO,9863.0,BUSSOLA
Spain,9594.0,BUSSOLA
Libya,8169.0,BUSSOLA
Iraq,6148.0,BUSSOLA
Portugal,52.0,CABLAGGIO ROHS
MEXICO,42.0,CABLAGGIO ROHS
USA,29.0,CABLAGGIO ROHS
ITALY,26.0,CABLAGGIO ROHS
Greece,25.0,CABLAGGIO ROHS
USA,124.0,CALETTATORE
MEXICO,121.0,CALETTATORE
MOROCCO,120.0,CALETTATORE
MALAYSIA,101.0,CALETTATORE
PHILIPPINES,89.0,CALETTATORE
MEXICO,2749.0,CAMERA D'ARIA
India,1010.0,CAMERA D'ARIA
USA,940.0,CAMERA D'ARIA
Spain,830.0,CAMERA D'ARIA
Brazil,660.0,CAMERA D'ARIA
Netherlands,25.0,CAMMA TONDA
CHINA,18.0,CAMMA TONDA
POLAND,18.0,CAMMA TONDA
USA,18.0,CAMMA TONDA
ITALY,16.0,CAMMA TONDA
UNITED KINGDOM,408.0,CARRELLO
South Africa,334.0,CARRELLO
Spain,290.0,CARRELLO
ITALY,284.0,CARRELLO
USA,276.0,CARRELLO
USA,313.0,CARTUCCIA
India,306.0,CARTUCCIA
PHILIPPINES,208.0,CARTUCCIA
CHINA,177.0,CARTUCCIA
ALGERIA,175.0,CARTUCCIA
USA,656.0,CARTUCCIA FILTRO
UNITED KINGDOM,189.0,CARTUCCIA FILTRO
CHINA,133.0,CARTUCCIA FILTRO
Spain,128.0,CARTUCCIA FILTRO
JAMAICA,64.0,CARTUCCIA FILTRO
MALDIVES,18289.5,CATENA
MEXICO,2313.0,CATENA
USA,1735.0,CATENA
Spain,834.0,CATENA
CHINA,642.0,CATENA
PHILIPPINES,19894.87548828125,CATENA SEMPLICE
Indonesia,18573.50390625,CATENA SEMPLICE
GEORGIA,15335.7421875,CATENA SEMPLICE
Lebanon,13300.22265625,CATENA SEMPLICE
CROATIA,9904.0,CATENA SEMPLICE
USA,393.0,CATENA SPECIALE
UNITED KINGDOM,269.0,CATENA SPECIALE
India,153.0,CATENA SPECIALE
Germany,128.0,CATENA SPECIALE
MEXICO,123.0,CATENA SPECIALE
MEXICO,10197.0,CAVO
Spain,9270.0,CAVO
USA,8983.0,CAVO
Brazil,2263.0,CAVO
GUATEMALA,1326.0,CAVO
ALGERIA,140.0,CAVO PRECABLATO
Lebanon,132.0,CAVO PRECABLATO
USA,124.0,CAVO PRECABLATO
Iraq,104.0,CAVO PRECABLATO
Saudi Arabia,97.0,CAVO PRECABLATO
MEXICO,638.0,CILINDRO
Spain,614.0,CILINDRO
Iraq,559.0,CILINDRO
Saudi Arabia,498.0,CILINDRO
ALGERIA,492.0,CILINDRO
CHINA,5611.0,CINGHIA DENTATA
USA,4774.0,CINGHIA DENTATA
MEXICO,4761.0,CINGHIA DENTATA
Spain,3134.0,CINGHIA DENTATA
Brazil,2472.0,CINGHIA DENTATA
USA,84.0,COLONNINA LUMINOSA
CHINA,51.0,COLONNINA LUMINOSA
MOROCCO,26.0,COLONNINA LUMINOSA
MEXICO,23.0,COLONNINA LUMINOSA
EGYPT,21.0,COLONNINA LUMINOSA
MEXICO,36.0,CONDIZIONATORE
CANADA,20.0,CONDIZIONATORE
MOROCCO,20.0,CONDIZIONATORE
COLOMBIA,17.0,CONDIZIONATORE
CHINA,16.0,CONDIZIONATORE
Saudi Arabia,582.0,CONNETTORE
Kuwait,408.0,CONNETTORE
ALGERIA,266.0,CONNETTORE
BANGLADESH,222.0,CONNETTORE
PHILIPPINES,193.0,CONNETTORE
CHINA,82.0,CONTATORE NUMERICO
Spain,78.0,CONTATORE NUMERICO
MEXICO,57.0,CONTATORE NUMERICO
ITALY,35.0,CONTATORE NUMERICO
AUSTRALIA,32.0,CONTATORE NUMERICO
USA,477.0,CONTATTO
Saudi Arabia,182.0,CONTATTO
CHINA,130.0,CONTATTO
MEXICO,125.0,CONTATTO
THAILAND,120.0,CONTATTO
MEXICO,28.0,COPRIMORSETTO
USA,22.0,COPRIMORSETTO
GUATEMALA,12.0,COPRIMORSETTO
Saudi Arabia,12.0,COPRIMORSETTO
South Korea,10.0,COPRIMORSETTO
Indonesia,96.0,CORONA SEMPLICE
CHINA,73.0,CORONA SEMPLICE
MALAYSIA,66.0,CORONA SEMPLICE
Spain,64.0,CORONA SEMPLICE
VIETNAM,62.0,CORONA SEMPLICE
MALAYSIA,317.0,COSMOS
ALGERIA,285.0,COSMOS
MEXICO,279.0,COSMOS
PHILIPPINES,194.0,COSMOS
TURKEY,191.0,COSMOS
Ivory Coast,804.0,CUSCINETTO
PHILIPPINES,727.0,CUSCINETTO
MEXICO,624.0,CUSCINETTO
Spain,604.0,CUSCINETTO
Cape Verde,529.0,CUSCINETTO
MEXICO,534.0,CUSCINETTO A RULLI CONICI
Brazil,404.0,CUSCINETTO A RULLI CONICI
USA,296.0,CUSCINETTO A RULLI CONICI
Spain,244.0,CUSCINETTO A RULLI CONICI
Libya,125.0,CUSCINETTO A RULLI CONICI
MOROCCO,644.0,CUSCINETTO A RULLINI
ALGERIA,593.0,CUSCINETTO A RULLINI
MEXICO,500.0,CUSCINETTO A RULLINI
ROMANIA,497.0,CUSCINETTO A RULLINI
RUSSIAN FEDERATION,369.0,CUSCINETTO A RULLINI
MEXICO,21003.0,CUSCINETTO A SFERE
Brazil,18952.0,CUSCINETTO A SFERE
Saudi Arabia,17439.0,CUSCINETTO A SFERE
USA,13513.0,CUSCINETTO A SFERE
Spain,12536.0,CUSCINETTO A SFERE
RUSSIAN FEDERATION,60.0,CUSCINETTO ASSIALE RULLINI
ANTIGUA AND BARBUDA,48.0,CUSCINETTO ASSIALE RULLINI
ALGERIA,20.0,CUSCINETTO ASSIALE RULLINI
CHINA,20.0,CUSCINETTO ASSIALE RULLINI
UNITED ARAB EMIRATES,20.0,CUSCINETTO ASSIALE RULLINI
USA,3185.0,DADO ESAGONALE
MEXICO,2611.0,DADO ESAGONALE
MALAYSIA,1222.0,DADO ESAGONALE
YEMEN,1210.0,DADO ESAGONALE
UNITED KINGDOM,1104.0,DADO ESAGONALE
Cape Verde,3250.0,DISPOSITIVO
Belarus,2548.0,DISPOSITIVO
ANTIGUA AND BARBUDA,1485.0,DISPOSITIVO
PHILIPPINES,745.0,DISPOSITIVO
ALGERIA,644.0,DISPOSITIVO
MEXICO,5586.0,DISTANZIALE
Saudi Arabia,4505.0,DISTANZIALE
USA,4228.0,DISTANZIALE
Brazil,3822.0,DISTANZIALE
Iraq,3669.0,DISTANZIALE
ALGERIA,3066.0,ELETTROVALVOLA
TURKEY,2618.0,ELETTROVALVOLA
Saudi Arabia,2448.0,ELETTROVALVOLA
Iraq,1895.0,ELETTROVALVOLA
Spain,1858.0,ELETTROVALVOLA
CHINA,67.0,ENCODER
ALGERIA,48.0,ENCODER
Brazil,43.0,ENCODER
RUSSIAN FEDERATION,41.0,ENCODER
MEXICO,38.0,ENCODER
PHILIPPINES,1063.0,FILTRO
UNITED KINGDOM,492.0,FILTRO
USA,438.0,FILTRO
MEXICO,427.0,FILTRO
ALGERIA,324.0,FILTRO
MEXICO,952.0,FINECORSA
USA,595.0,FINECORSA
Brazil,315.0,FINECORSA
UNITED KINGDOM,295.0,FINECORSA
CHINA,249.0,FINECORSA
Spain,768.0,FLANGIA
Iraq,616.0,FLANGIA
MEXICO,426.0,FLANGIA
Saudi Arabia,356.0,FLANGIA
UKRAINE,329.0,FLANGIA
Saudi Arabia,37.0,FLUSSOSTATO
BANGLADESH,30.0,FLUSSOSTATO
ALGERIA,23.0,FLUSSOSTATO
Spain,16.0,FLUSSOSTATO
Islamic Republic of Iran,15.0,FLUSSOSTATO
Iraq,450.0,FRENO CHIAVISTELLO
YEMEN,340.0,FRENO CHIAVISTELLO
ALGERIA,295.0,FRENO CHIAVISTELLO
Saudi Arabia,289.0,FRENO CHIAVISTELLO
TURKEY,259.0,FRENO CHIAVISTELLO
MEXICO,673.0,FUSIBILE
CHINA,521.0,FUSIBILE
PHILIPPINES,497.0,FUSIBILE
Qatar,481.0,FUSIBILE
"Congo, Republic of",446.0,FUSIBILE
USA,91.0,GENERATORE DI VUOTO
Spain,34.0,GENERATORE DI VUOTO
TUNISIA,25.0,GENERATORE DI VUOTO
Islamic Republic of Iran,24.0,GENERATORE DI VUOTO
ITALY,16.0,GENERATORE DI VUOTO
Spain,1214.0,GHIERA
MEXICO,1057.0,GHIERA
USA,1002.0,GHIERA
MOROCCO,863.0,GHIERA
UNITED KINGDOM,823.0,GHIERA
MEXICO,974.0,GIUNTO
USA,361.0,GIUNTO
Spain,316.0,GIUNTO
UNITED KINGDOM,308.0,GIUNTO
RUSSIAN FEDERATION,283.0,GIUNTO
USA,423.0,GIUNTO CATENA
PHILIPPINES,161.0,GIUNTO CATENA
ALGERIA,100.0,GIUNTO CATENA
Mozambique,91.0,GIUNTO CATENA
MEXICO,88.0,GIUNTO CATENA
Cape Verde,691.0,GOMMA
ANTIGUA AND BARBUDA,570.0,GOMMA
Belarus,350.0,GOMMA
GEORGIA,292.0,GOMMA
Sweden,221.0,GOMMA
Brazil,159.0,GOMMA TEXGUM PV5
MEXICO,90.0,GOMMA TEXGUM PV5
Spain,66.0,GOMMA TEXGUM PV5
FRANCE,45.0,GOMMA TEXGUM PV5
MALAYSIA,36.171875,GOMMA TEXGUM PV5
MEXICO,7651.0,GRANO
USA,7241.0,GRANO
Iraq,5046.0,GRANO
Saudi Arabia,4656.0,GRANO
PAKISTAN,3607.0,GRANO
Portugal,8.0,GRIGLIA
Islamic Republic of Iran,6.0,GRIGLIA
MEXICO,5.0,GRIGLIA
Kuwait,4.0,GRIGLIA
Qatar,4.0,GRIGLIA
Saudi Arabia,295.0,GRUPPO
Ivory Coast,238.0,GRUPPO
Israel,193.0,GRUPPO
Indonesia,132.0,GRUPPO
ITALY,130.0,GRUPPO
MEXICO,1657.0,GRUPPO AGGIORNAMENTO
CHINA,759.0,GRUPPO AGGIORNAMENTO
USA,660.0,GRUPPO AGGIORNAMENTO
ITALY,584.0,GRUPPO AGGIORNAMENTO
ALGERIA,518.0,GRUPPO AGGIORNAMENTO
MEXICO,120.0,GRUPPO ALBERO PORTA BOBINA
TURKEY,99.0,GRUPPO ALBERO PORTA BOBINA
EGYPT,85.0,GRUPPO ALBERO PORTA BOBINA
POLAND,84.0,GRUPPO ALBERO PORTA BOBINA
USA,79.0,GRUPPO ALBERO PORTA BOBINA
MEXICO,47.0,GRUPPO AVVOLGITORE
USA,24.0,GRUPPO AVVOLGITORE
South Korea,20.0,GRUPPO AVVOLGITORE
COLOMBIA,17.0,GRUPPO AVVOLGITORE
Ghana,11.0,GRUPPO AVVOLGITORE
USA,3630.0,GRUPPO BARRE DIVISORI
MEXICO,2009.0,GRUPPO BARRE DIVISORI
TURKEY,846.0,GRUPPO BARRE DIVISORI
Spain,666.0,GRUPPO BARRE DIVISORI
Germany,587.0,GRUPPO BARRE DIVISORI
MEXICO,282.0,GRUPPO BILANCELLE
USA,132.0,GRUPPO BILANCELLE
ITALY,121.0,GRUPPO BILANCELLE
UNITED KINGDOM,90.0,GRUPPO BILANCELLE
South Korea,64.0,GRUPPO BILANCELLE
MEXICO,580.0,GRUPPO BORDO MACCHINA
Brazil,156.0,GRUPPO BORDO MACCHINA
USA,144.0,GRUPPO BORDO MACCHINA
Spain,142.0,GRUPPO BORDO MACCHINA
GUATEMALA,59.0,GRUPPO BORDO MACCHINA
MEXICO,38.0,GRUPPO BORDO NASTRI
Iraq,24.0,GRUPPO BORDO NASTRI
TAIWAN R.O.C.,18.0,GRUPPO BORDO NASTRI
ALGERIA,16.0,GRUPPO BORDO NASTRI
Indonesia,11.0,GRUPPO BORDO NASTRI
BANGLADESH,361.0,GRUPPO BUSSOLA DI SOFFIAGGIO
Saudi Arabia,120.0,GRUPPO BUSSOLA DI SOFFIAGGIO
TURKEY,110.0,GRUPPO BUSSOLA DI SOFFIAGGIO
MEXICO,104.0,GRUPPO BUSSOLA DI SOFFIAGGIO
Cambodia,94.0,GRUPPO BUSSOLA DI SOFFIAGGIO
MEXICO,463.0,GRUPPO CATENA
Spain,292.0,GRUPPO CATENA
Iraq,118.0,GRUPPO CATENA
USA,110.0,GRUPPO CATENA
ITALY,104.0,GRUPPO CATENA
Spain,50.0,GRUPPO CATENA FORNO
ALGERIA,37.0,GRUPPO CATENA FORNO
Bulgaria,36.0,GRUPPO CATENA FORNO
MEXICO,24.0,GRUPPO CATENA FORNO
Canary Islands,20.0,GRUPPO CATENA FORNO
USA,864.0,GRUPPO CATENE
CHINA,623.0,GRUPPO CATENE
MEXICO,417.0,GRUPPO CATENE
Spain,236.0,GRUPPO CATENE
TURKEY,187.0,GRUPPO CATENE
USA,1078.0,GRUPPO CILINDRO
Spain,290.0,GRUPPO CILINDRO
Iraq,233.0,GRUPPO CILINDRO
ALGERIA,228.0,GRUPPO CILINDRO
MEXICO,219.0,GRUPPO CILINDRO
MEXICO,3447.0,GRUPPO COLTELLO
USA,2465.0,GRUPPO COLTELLO
Spain,2310.0,GRUPPO COLTELLO
Brazil,908.0,GRUPPO COLTELLO
TURKEY,829.0,GRUPPO COLTELLO
MEXICO,283.0,GRUPPO ELETTROVALVOLA
Iraq,218.0,GRUPPO ELETTROVALVOLA
USA,200.0,GRUPPO ELETTROVALVOLA
India,167.0,GRUPPO ELETTROVALVOLA
Islamic Republic of Iran,106.0,GRUPPO ELETTROVALVOLA
Spain,24.0,GRUPPO ENTRATA TAPPETO AVVOLGITORE
UNITED KINGDOM,20.0,GRUPPO ENTRATA TAPPETO AVVOLGITORE
South Africa,12.0,GRUPPO ENTRATA TAPPETO AVVOLGITORE
MEXICO,11.0,GRUPPO ENTRATA TAPPETO AVVOLGITORE
TUNISIA,10.0,GRUPPO ENTRATA TAPPETO AVVOLGITORE
USA,4322.0,GRUPPO FORMATRICE
CHINA,4178.0,GRUPPO FORMATRICE
Indonesia,2806.0,GRUPPO FORMATRICE
Spain,1888.0,GRUPPO FORMATRICE
ITALY,1387.0,GRUPPO FORMATRICE
Brazil,151.0,GRUPPO FORNO
MEXICO,132.0,GRUPPO FORNO
Cambodia,117.0,GRUPPO FORNO
Portugal,84.0,GRUPPO FORNO
EGYPT,55.0,GRUPPO FORNO
USA,124.0,GRUPPO FOTOCELLULA
MEXICO,83.0,GRUPPO FOTOCELLULA
Iraq,53.0,GRUPPO FOTOCELLULA
Islamic Republic of Iran,52.0,GRUPPO FOTOCELLULA
MOROCCO,51.0,GRUPPO FOTOCELLULA
USA,52.0,GRUPPO GUIDE CATENA
"Congo, Republic of",50.0,GRUPPO GUIDE CATENA
COLOMBIA,37.0,GRUPPO GUIDE CATENA
MEXICO,34.0,GRUPPO GUIDE CATENA
POLAND,33.0,GRUPPO GUIDE CATENA
MEXICO,1578.0,GRUPPO IMPIANTO PNEUMATICO
USA,864.0,GRUPPO IMPIANTO PNEUMATICO
India,602.0,GRUPPO IMPIANTO PNEUMATICO
Spain,466.0,GRUPPO IMPIANTO PNEUMATICO
Iraq,438.0,GRUPPO IMPIANTO PNEUMATICO
Lebanon,458.0,GRUPPO INGRESSO PALLETTIZZATORE
THAILAND,425.0,GRUPPO INGRESSO PALLETTIZZATORE
MEXICO,351.0,GRUPPO INGRESSO PALLETTIZZATORE
YEMEN,336.0,GRUPPO INGRESSO PALLETTIZZATORE
Indonesia,335.0,GRUPPO INGRESSO PALLETTIZZATORE
USA,376.0,GRUPPO MAGAZZINO CARTONI
CHINA,219.0,GRUPPO MAGAZZINO CARTONI
Spain,94.0,GRUPPO MAGAZZINO CARTONI
Indonesia,59.0,GRUPPO MAGAZZINO CARTONI
MOROCCO,50.0,GRUPPO MAGAZZINO CARTONI
Democratic Rep. of the Congo,888.0,GRUPPO MANDRINO PASSO 50
TURKEY,644.0,GRUPPO MANDRINO PASSO 50
ALGERIA,505.0,GRUPPO MANDRINO PASSO 50
Spain,386.0,GRUPPO MANDRINO PASSO 50
South Africa,238.0,GRUPPO MANDRINO PASSO 50
USA,663.0,GRUPPO MOTORE
CHINA,505.0,GRUPPO MOTORE
MALAYSIA,340.0,GRUPPO MOTORE
ITALY,333.0,GRUPPO MOTORE
Spain,256.0,GRUPPO MOTORE
MEXICO,3808.0,GRUPPO NASTRINI REGOLABILI
CHINA,1826.0,GRUPPO NASTRINI REGOLABILI
TURKEY,1472.0,GRUPPO NASTRINI REGOLABILI
USA,1456.0,GRUPPO NASTRINI REGOLABILI
VIETNAM,1090.0,GRUPPO NASTRINI REGOLABILI
MEXICO,291.0,GRUPPO NASTRO
PAKISTAN,275.0,GRUPPO NASTRO
UNITED KINGDOM,241.0,GRUPPO NASTRO
Ivory Coast,238.0,GRUPPO NASTRO
MALAYSIA,192.0,GRUPPO NASTRO
MEXICO,1796.0,GRUPPO NASTRO INGRESSO
USA,1312.0,GRUPPO NASTRO INGRESSO
UNITED KINGDOM,1011.0,GRUPPO NASTRO INGRESSO
EGYPT,811.0,GRUPPO NASTRO INGRESSO
Spain,752.0,GRUPPO NASTRO INGRESSO
ALGERIA,465.0,GRUPPO PALLETTIZZATORE
PHILIPPINES,456.0,GRUPPO PALLETTIZZATORE
MALAYSIA,334.0,GRUPPO PALLETTIZZATORE
MEXICO,302.0,GRUPPO PALLETTIZZATORE
Indonesia,259.0,GRUPPO PALLETTIZZATORE
MEXICO,362.0,GRUPPO PINZA FRENO
India,113.0,GRUPPO PINZA FRENO
USA,69.0,GRUPPO PINZA FRENO
EGYPT,67.0,GRUPPO PINZA FRENO
Brazil,63.0,GRUPPO PINZA FRENO
Iraq,341.0,GRUPPO PINZE
Spain,214.0,GRUPPO PINZE
RUSSIAN FEDERATION,168.0,GRUPPO PINZE
Saudi Arabia,147.0,GRUPPO PINZE
ALGERIA,141.0,GRUPPO PINZE
Spain,148.0,GRUPPO PISTONE DI SOFFIAGGIO
MEXICO,77.0,GRUPPO PISTONE DI SOFFIAGGIO
UGANDA,50.0,GRUPPO PISTONE DI SOFFIAGGIO
ROMANIA,49.0,GRUPPO PISTONE DI SOFFIAGGIO
Libya,45.0,GRUPPO PISTONE DI SOFFIAGGIO
USA,648.0,GRUPPO PROTEZIONI MACCHINA
UNITED KINGDOM,301.0,GRUPPO PROTEZIONI MACCHINA
ITALY,165.0,GRUPPO PROTEZIONI MACCHINA
Spain,142.0,GRUPPO PROTEZIONI MACCHINA
CHINA,110.0,GRUPPO PROTEZIONI MACCHINA
MEXICO,2482.0,GRUPPO QUADRO MACCHINA
ITALY,928.0,GRUPPO QUADRO MACCHINA
ALGERIA,846.0,GRUPPO QUADRO MACCHINA
USA,824.0,GRUPPO QUADRO MACCHINA
Iraq,802.0,GRUPPO QUADRO MACCHINA
Saudi Arabia,11424.0,GRUPPO RICAMBI
ALGERIA,11150.0,GRUPPO RICAMBI
Iraq,8723.0,GRUPPO RICAMBI
Spain,7788.0,GRUPPO RICAMBI
TURKEY,6910.0,GRUPPO RICAMBI
USA,128.0,GRUPPO RILEVAMENTO PRODOTTO
ALGERIA,25.0,GRUPPO RILEVAMENTO PRODOTTO
MEXICO,18.0,GRUPPO RILEVAMENTO PRODOTTO
ITALY,16.0,GRUPPO RILEVAMENTO PRODOTTO
CHINA,12.0,GRUPPO RILEVAMENTO PRODOTTO
MEXICO,966.0,GRUPPO RINVIO
USA,687.0,GRUPPO RINVIO
Spain,418.0,GRUPPO RINVIO
MALAYSIA,362.0,GRUPPO RINVIO
UNITED KINGDOM,335.0,GRUPPO RINVIO
UNITED ARAB EMIRATES,8.0,GRUPPO RULLO
Islamic Republic of Iran,3.0,GRUPPO RULLO
Lithuania,2.0,GRUPPO RULLO
RUSSIAN FEDERATION,2.0,GRUPPO RULLO
AFGHANISTAN,0.0,GRUPPO RULLO
MEXICO,952.0,GRUPPO SALDATORE
USA,597.0,GRUPPO SALDATORE
Spain,372.0,GRUPPO SALDATORE
Brazil,287.0,GRUPPO SALDATORE
UNITED KINGDOM,250.0,GRUPPO SALDATORE
USA,690.0,GRUPPO SALITA CARTONI
CHINA,589.0,GRUPPO SALITA CARTONI
Spain,318.0,GRUPPO SALITA CARTONI
MALAYSIA,270.0,GRUPPO SALITA CARTONI
ITALY,227.0,GRUPPO SALITA CARTONI
MEXICO,301.0,GRUPPO SEPARATORE
Brazil,73.0,GRUPPO SEPARATORE
ITALY,67.0,GRUPPO SEPARATORE
CHINA,65.0,GRUPPO SEPARATORE
Spain,64.0,GRUPPO SEPARATORE
MEXICO,1684.0,GRUPPO SEPARATORE ELETTRONICO
Spain,594.0,GRUPPO SEPARATORE ELETTRONICO
TURKEY,320.0,GRUPPO SEPARATORE ELETTRONICO
Brazil,301.0,GRUPPO SEPARATORE ELETTRONICO
POLAND,251.0,GRUPPO SEPARATORE ELETTRONICO
India,100.0,GRUPPO SFOGLIATORE
ROMANIA,87.0,GRUPPO SFOGLIATORE
MEXICO,86.0,GRUPPO SFOGLIATORE
USA,84.0,GRUPPO SFOGLIATORE
ITALY,80.0,GRUPPO SFOGLIATORE
USA,29.0,GRUPPO SMISTATORE
Spain,26.0,GRUPPO SMISTATORE
MEXICO,13.0,GRUPPO SMISTATORE
Portugal,12.0,GRUPPO SMISTATORE
HONDURAS,10.0,GRUPPO SMISTATORE
MEXICO,2966.0,GRUPPO SPECIFICHE
Spain,1296.0,GRUPPO SPECIFICHE
USA,1239.0,GRUPPO SPECIFICHE
TURKEY,1013.0,GRUPPO SPECIFICHE
CHINA,610.0,GRUPPO SPECIFICHE
MEXICO,397.0,GRUPPO TAPPETO
Brazil,178.0,GRUPPO TAPPETO
India,178.0,GRUPPO TAPPETO
Spain,152.0,GRUPPO TAPPETO
UNITED KINGDOM,122.0,GRUPPO TAPPETO
MEXICO,1511.0,GRUPPO TENDITORE
USA,1285.0,GRUPPO TENDITORE
Saudi Arabia,1244.0,GRUPPO TENDITORE
Spain,1028.0,GRUPPO TENDITORE
Brazil,773.0,GRUPPO TENDITORE
USA,2263.0,GRUPPO TRASMISSIONI
MEXICO,736.0,GRUPPO TRASMISSIONI
UNITED KINGDOM,631.0,GRUPPO TRASMISSIONI
Spain,584.0,GRUPPO TRASMISSIONI
CHINA,424.0,GRUPPO TRASMISSIONI
MOROCCO,36.0,GRUPPO TRATTAMENTO ARIA
Syria,32.0,GRUPPO TRATTAMENTO ARIA
Saudi Arabia,26.0,GRUPPO TRATTAMENTO ARIA
UNITED ARAB EMIRATES,24.0,GRUPPO TRATTAMENTO ARIA
Iraq,21.0,GRUPPO TRATTAMENTO ARIA
PHILIPPINES,239.0,GRUPPO USCITA PALLETTIZZATORE
ROMANIA,138.0,GRUPPO USCITA PALLETTIZZATORE
ALGERIA,77.0,GRUPPO USCITA PALLETTIZZATORE
MALDIVES,50.0,GRUPPO USCITA PALLETTIZZATORE
UNITED KINGDOM,49.0,GRUPPO USCITA PALLETTIZZATORE
Saudi Arabia,20578.0,GUARNIZIONE
Cape Verde,17074.0,GUARNIZIONE
Norway,13397.0,GUARNIZIONE
ALGERIA,13332.900390625,GUARNIZIONE
Spain,12860.0,GUARNIZIONE
Spain,46672.0,GUIDA
Serbia,38219.0,GUIDA
TAIWAN R.O.C.,22229.0,GUIDA
CHINA,7174.0,GUIDA
USA,6608.0,GUIDA
MEXICO,6251.0,GUIDA CATENA
Spain,4306.0,GUIDA CATENA
USA,4084.0,GUIDA CATENA
CHINA,2421.0,GUIDA CATENA
POLAND,2197.0,GUIDA CATENA
Iraq,524.0,INGRASSATORE
MEXICO,256.0,INGRASSATORE
Democratic Rep. of the Congo,212.0,INGRASSATORE
