index,PERIODO,COUNTRY,UNITA_MISURA,QTA_ORDINATA,QTA_EVASA,MAX_ORDER_MONTH,DELTA
1769,2018-02,THAILAND,N,1296.0,1293.0,2,3.0
60742,2023-05,TRINIDAD AND TOBAGO,MT,6096.0,6096.0,5,0.0
29855,2020-08,TRINIDAD AND TOBAGO,N,50.0,50.0,8,0.0
12074,2019-01,TUNISIA,LT,5.0,0.0,1,5.0
34540,2021-01,TUNISIA,MT,51838.0,51846.0,1,-8.0
42029,2021-09,TUNISIA,N,2363.0,1526.0,9,837.0
31734,2020-10,TURKEY,CF,17.0,15.0,10,2.0
66370,2023-11,TURKEY,MT,61065.46875,60960.0,11,105.46875
42035,2021-09,TURKEY,N,6594.0,3461.0,9,3133.0
16768,2019-06,TURKMENISTAN,MT,12.0,12.0,6,0.0
39233,2021-06,TURKMENISTAN,N,376.0,376.0,6,0.0
48598,2022-04,Tajikistan,MT,8648.0,8649.0,4,-1.0
66383,2023-11,Tajikistan,N,1029.0,1029.0,11,0.0
10224,2018-11,UGANDA,CF,12.0,4.0,11,8.0
14908,2019-04,UGANDA,MT,100.0,100.0,4,0.0
53285,2022-09,UGANDA,N,838.0,796.0,9,42.0
3682,2018-04,UKRAINE,MT,42688.0,42672.0,4,16.0
18659,2019-08,UKRAINE,N,5607.0,5564.0,8,43.0
58912,2023-03,UNITED ARAB EMIRATES,MT,42709.904296875,42672.0,3,37.904296875
38321,2021-05,UNITED ARAB EMIRATES,N,1031.0,968.0,5,63.0
3692,2018-04,UNITED KINGDOM,LT,10.0,10.0,4,0.0
10246,2018-11,UNITED KINGDOM,MT,24401.2421875,24401.24,11,0.0021874999983992893
38327,2021-05,UNITED KINGDOM,N,2989.0,2963.0,5,26.0
15868,2019-05,URUGUAY,MT,64000.0,64008.0,5,-8.0
40205,2021-07,URUGUAY,N,502.0,501.0,7,1.0
14934,2019-04,USA,CF,15.0,15.0,4,0.0
56119,2022-12,USA,KG,36.0,36.0,12,0.0
7448,2018-08,USA,LT,10.0,10.0,8,0.0
9322,2018-10,USA,MT,82292.0,82300.0,10,-8.0
4643,2018-05,USA,N,3188.0,3184.0,5,4.0
10262,2018-11,UZBEKISTAN,LT,20.0,20.0,11,0.0
3712,2018-04,UZBEKISTAN,MT,3048.0,3048.0,4,0.0
43961,2021-11,UZBEKISTAN,N,1147.0,1146.0,11,1.0
15886,2019-05,VENEZUELA,MT,100.0,100.0,5,0.0
28055,2020-06,VENEZUELA,N,928.0,760.0,6,168.0
24314,2020-02,VIETNAM,LT,25.0,25.0,2,0.0
63628,2023-08,VIETNAM,MT,57985.75,57977.74,8,8.010000000002037
63629,2023-08,VIETNAM,N,4987.0,4987.0,8,0.0
60826,2023-05,YEMEN,MT,267.0,250.0,5,17.0
57083,2023-01,YEMEN,N,3524.0,3070.0,1,454.0
34622,2021-01,ZAMBIA,LT,20.0,20.0,1,0.0
50536,2022-06,ZAMBIA,MT,11.0,11.0,6,0.0
12161,2019-01,ZAMBIA,N,902.0,785.0,1,117.0
51476,2022-07,ZIMBABWE,LT,5.0,5.0,7,0.0
50542,2022-06,ZIMBABWE,MT,31.0,31.0,6,0.0
43991,2021-11,ZIMBABWE,N,756.0,756.0,11,0.0
